0 1 2 3 5.7627
0 1 2 4 5.7644
0 1 2 5 5.7644
0 1 2 6 5.7644
0 1 2 7 5.76433
0 1 2 8 5.51904
0 1 2 9 5.70553
0 1 2 10 5.7644
0 1 2 11 5.7644
0 1 2 12 5.76433
0 1 2 13 5.70381
0 1 2 14 5.58746
0 1 2 15 5.58746
0 1 2 16 5.7644
0 1 2 17 5.7644
0 1 2 18 5.58746
0 1 2 19 5.70553
0 1 2 20 5.58746
0 1 2 21 5.7644
0 1 2 22 5.58746
0 1 2 23 5.39208
0 1 2 24 5.72867
0 1 2 25 5.71398
0 1 2 26 5.66011
0 1 2 27 5.63485
0 1 2 28 5.66406
0 1 2 29 5.42804
0 1 2 30 5.51904
0 1 2 31 5.48728
0 1 2 32 4.52574
0 1 2 33 3.65693
0 1 3 4 6.00094
0 1 3 5 6.00094
0 1 3 6 6.00094
0 1 3 7 5.99364
0 1 3 8 5.69079
0 1 3 9 5.92103
0 1 3 10 6.00094
0 1 3 11 6.00094
0 1 3 12 6.00094
0 1 3 13 5.92103
0 1 3 14 5.85535
0 1 3 15 5.85535
0 1 3 16 6.00094
0 1 3 17 6.00094
0 1 3 18 5.85535
0 1 3 19 5.95714
0 1 3 20 5.85535
0 1 3 21 6.00094
0 1 3 22 5.85535
0 1 3 23 5.66986
0 1 3 24 5.96577
0 1 3 25 5.95689
0 1 3 26 5.912
0 1 3 27 5.82444
0 1 3 28 5.85584
0 1 3 29 5.72193
0 1 3 30 5.77422
0 1 3 31 5.74
0 1 3 32 4.73388
0 1 3 33 4.06227
0 1 4 5 6.02725
0 1 4 6 6.02725
0 1 4 7 6.01351
0 1 4 8 5.71587
0 1 4 9 5.94465
0 1 4 10 6.02725
0 1 4 11 6.02725
0 1 4 12 6.02645
0 1 4 13 5.93084
0 1 4 14 5.88461
0 1 4 15 5.88461
0 1 4 16 6.02725
0 1 4 17 6.02725
0 1 4 18 5.88461
0 1 4 19 5.9909
0 1 4 20 5.88461
0 1 4 21 6.02725
0 1 4 22 5.88461
0 1 4 23 5.70399
0 1 4 24 5.99277
0 1 4 25 5.98449
0 1 4 26 5.94058
0 1 4 27 5.84907
