0 1 2 3 1.90693
0 1 2 4 1.81265
0 1 2 5 1.73205
0 1 2 6 1.96214
0 1 2 7 1.85164
0 1 2 8 2
0 1 2 9 1.96769
0 1 2 10 2
0 1 2 11 1.93309
0 1 2 12 1.97531
0 1 2 13 1.97531
0 1 2 14 2
0 1 3 4 1.41421
0 1 3 5 1.73205
0 1 3 6 2
0 1 3 7 1.90693
0 1 3 8 1.90693
0 1 3 9 2
0 1 3 10 1.73205
0 1 3 11 2
0 1 3 12 2
0 1 3 13 2
0 1 3 14 1.90693
0 1 4 5 1.90693
0 1 4 6 2.13664
0 1 4 7 1.81265
0 1 4 8 2.19089
0 1 4 9 2.16025
0 1 4 10 2.19089
0 1 4 11 2
0 1 4 12 2.19089
0 1 4 13 2.19089
0 1 4 14 2.19089
0 1 5 6 1.73205
0 1 5 7 1.73205
0 1 5 8 1.90693
0 1 5 9 1.85164
0 1 5 10 1.90693
0 1 5 11 1.73205
0 1 5 12 1.90693
0 1 5 13 1.90693
0 1 5 14 1.90693
0 1 6 7 1.96214
0 1 6 8 2.28446
0 1 6 9 2.44949
0 1 6 10 2.23607
0 1 6 11 2.23607
0 1 6 12 2.44949
0 1 6 13 2.44949
0 1 6 14 2.28446
0 1 7 8 2
0 1 7 9 1.96769
0 1 7 10 2
0 1 7 11 1.93309
0 1 7 12 1.97531
0 1 7 13 1.97531
0 1 7 14 2
0 1 8 9 2.3094
0 1 8 10 2.28446
0 1 8 11 2.19089
0 1 8 12 2.38048
0 1 8 13 2.38048
0 1 8 14 2.3094
0 1 9 10 2.26385
0 1 9 11 2.23607
0 1 9 12 2.44949
0 1 9 13 2.44949
0 1 9 14 2.3094
0 1 10 11 2.13664
0 1 10 12 2.28446
0 1 10 13 2.28446
0 1 10 14 2.28446
0 1 11 12 2.23607
0 1 11 13 2.23607
0 1 11 14 2.19089
0 1 12 13 2.44949
0 1 12 14 2.38048
0 1 13 14 2.38048
