0 1 2 3 4 5 1.41421
0 1 2 3 4 6 1.41421
0 1 2 3 4 7 1.41421
0 1 2 3 4 8 1.41421
0 1 2 3 4 9 1.41421
0 1 2 3 4 10 1.41421
0 1 2 3 4 11 1.41421
0 1 2 3 4 12 1.41421
0 1 2 3 4 13 1.41421
0 1 2 3 4 14 1.41421
0 1 2 3 5 6 1.73205
0 1 2 3 5 7 1.73205
0 1 2 3 5 8 1.41421
0 1 2 3 5 9 1.73205
0 1 2 3 5 10 1.41421
0 1 2 3 5 11 1.73205
0 1 2 3 5 12 1.73205
0 1 2 3 5 13 1.73205
0 1 2 3 5 14 1.41421
0 1 2 3 6 7 1.85164
0 1 2 3 6 8 1.73205
0 1 2 3 6 9 1.90693
0 1 2 3 6 10 1.41421
0 1 2 3 6 11 1.90693
0 1 2 3 6 12 1.90693
0 1 2 3 6 13 1.90693
0 1 2 3 6 14 1.73205
0 1 2 3 7 8 1.62019
0 1 2 3 7 9 1.85164
0 1 2 3 7 10 1.41421
0 1 2 3 7 11 1.85164
0 1 2 3 7 12 1.85164
0 1 2 3 7 13 1.85164
0 1 2 3 7 14 1.62019
0 1 2 3 8 9 1.73205
0 1 2 3 8 10 1.41421
0 1 2 3 8 11 1.73205
0 1 2 3 8 12 1.73205
0 1 2 3 8 13 1.73205
0 1 2 3 8 14 1.62019
0 1 2 3 9 10 1.41421
0 1 2 3 9 11 1.90693
0 1 2 3 9 12 1.90693
0 1 2 3 9 13 1.90693
0 1 2 3 9 14 1.73205
0 1 2 3 10 11 1.41421
0 1 2 3 10 12 1.41421
0 1 2 3 10 13 1.41421
0 1 2 3 10 14 1.41421
0 1 2 3 11 12 1.90693
0 1 2 3 11 13 1.90693
0 1 2 3 11 14 1.73205
0 1 2 3 12 13 1.90693
0 1 2 3 12 14 1.73205
0 1 2 3 13 14 1.73205
0 1 2 4 5 6 1.41421
0 1 2 4 5 7 1.62019
0 1 2 4 5 8 1.73205
0 1 2 4 5 9 1.62019
0 1 2 4 5 10 1.73205
0 1 2 4 5 11 1.41421
0 1 2 4 5 12 1.73205
0 1 2 4 5 13 1.73205
0 1 2 4 5 14 1.73205
0 1 2 4 6 7 1.41421
0 1 2 4 6 8 1.62019
0 1 2 4 6 9 1.62019
0 1 2 4 6 10 1.62019
0 1 2 4 6 11 1.41421
0 1 2 4 6 12 1.62019
0 1 2 4 6 13 1.62019
0 1 2 4 6 14 1.62019
0 1 2 4 7 8 1.62019
0 1 2 4 7 9 1.41421
0 1 2 4 7 10 1.62019
0 1 2 4 7 11 1.41421
0 1 2 4 7 12 1.62019
0 1 2 4 7 13 1.62019
0 1 2 4 7 14 1.62019
0 1 2 4 8 9 1.73205
