19139,3162
24129,839
94868,65796
97043,95569
72756,33867
15311,75447
33849,85324
48468,64345
4632,54104
34239,4864
91180,97038
37238,33535
17774,97452
73538,84072
96343,96021
53421,43893
30014,53081
80899,1208
13290,97165
32150,37693
22467,2957
8338,92177
43700,1607
23183,76441
14990,29649
2585,38770
9412,42640
90187,41106
31531,45821
67621,41649
38112,83456
52875,90119
68397,92800
21782,4828
68793,28776
9439,98263
1661,14981
59595,52016
64919,46052
43742,90545
7,12909
23179,7794
64804,84834
15419,51674
93100,66659
36426,10558
65142,85280
73427,63241
40603,38366
79172,30647
7950,21957
67725,96996
90021,8322
70857,83218
20462,85698
93989,8996
84736,20711
42469,26997
52578,34757
71468,42558
56939,28762
97125,41156
90464,61409
11332,77002
25341,20703
75044,87405
42220,39581
22280,81797
91806,77776
99679,81640
73476,13288
64511,18958
86462,28638
76666,52533
21231,88448
95448,21755
25544,99731
53305,69325
86542,64598
22570,15741
48287,79044
71481,28159
72174,47715
16262,67748
16502,91888
67713,86271
71933,38881
83989,11500
72169,52366
52222,79912
38528,44595
26064,42602
22190,8034
11345,50708
6228,45443
65279,55451
80064,11017
6385,12455
92471,49226
5101,18821
99622,70206
94621,69436
49691,70854
68645,10321
29332,52953
79734,20317
86240,72193
17610,39252
91549,67504
85934,9432
53461,4364
97465,50456
37392,13148
91043,50639
18031,49521
26966,56073
8372,4965
74122,88922
20708,89132
77256,51950
53466,15810
50968,35264
74342,83438
27850,19681
76695,41617
35054,72449
28014,91843
89362,51670
93661,69499
62752,39569
51696,97327
39157,59353
79965,29953
72609,9887
71386,8333
94770,50103
34515,63338
87986,89788
27127,59519
350,20272
89268,84966
63178,43186
51766,97121
4322,59615
23413,65526
43213,37527
77263,14333
83195,7682
34658,14865
92909,66933
39681,23316
24432,24578
24619,92859
79461,10626
68456,37701
83126,90900
30818,49291
82323,3958
47755,41003
74673,91163
91247,39299
83499,72993
93401,92149
85659,53798
35371,92998
16790,63100
32812,26489
28350,48174
11943,63160
82295,69519
72168,34094
5522,39826
66120,91787
13491,6699
49236,96524
46689,43867
59793,18652
34647,11948
15868,12271
49112,96705
77773,67277
65352,21291
95592,74866
86631,67079
63291,16892
47177,36746
66837,79024
71910,51138
63067,64042
16772,45392
9940,20322
51469,19134
44154,23866
38050,85697
52443,37047
73717,93797
64258,98950
85507,82146
33018,23378
24808,68817
64210,80099
12007,59863
21372,76730
59886,59693
672,18718
7888,90898
28517,26643
40256,18328
27434,6958
72508,48757
42426,19609
19951,17370
56224,3572
86828,26294
11194,45174
29270,97083
56132,12205
44736,15908
96389,21240
66717,82702
12071,34983
10430,86922
52453,90730
12138,42789
78990,82512
39635,73904
27927,18216
49861,6688
13560,64004
87531,6403
76689,40219
22960,72418
96965,69982
55959,54721
55691,6898
58001,51101
2326,46220
18455,82776
55390,72306
87896,25269
38414,84459
82841,92897
9162,30398
74537,98889
11259,56605
98974,3549
69091,47374
2542,81851
18209,56818
5,49153
31250,2346
7054,74532
75099,54089
35193,88966
15910,73394
96248,90681
20774,25865
26819,45962
6589,72545
50904,25379
6843,5878
73230,49028
37844,77693
7557,27090
9379,81889
56199,35070
32664,59924
87727,6835
91061,98086
54442,51606
79370,1579
74673,90995
20108,21455
65230,446
38402,84784
76703,83108
69253,64264
13581,89162
9606,96532
22835,6924
61120,6152
13643,20078
450,65405
34047,84753
72380,13945
52043,23405
75499,19202
80631,55077
15955,83384
22283,57981
25369,38035
71856,80735
70494,80922
78395,6563
56171,18131
73640,32755
4108,52756
52177,65787
17041,66327
7584,68994
21863,60131
48616,12149
13188,79399
33829,20044
15498,71915
47766,57286
21391,17627
96434,99653
88593,34707
62035,11853
89769,51733
48893,3970
72925,77612
74522,26812
38647,34204
5205,78319
68691,9849
97548,92254
7460,8637
99989,77028
2117,4916
89785,42100
65801,9221
93907,18508
76004,16159
2536,73710
63786,6494
95825,43370
52787,95002
54171,27190
87324,19089
12381,73843
41551,36108
79577,78043
32501,11627
5508,75904
27891,66673
83281,4080
95952,76556
96950,91421
79298,75359
75757,89707
48533,66754
64118,47156
54876,68724
33376,47534
95400,61322
71792,4891
64346,55432
57036,47585
29740,24217
62105,3380
9967,50037
10322,28626
41070,60795
91268,28722
33267,70400
80746,60665
60577,64245
194,7559
